Team_Size,T1_Zom,T2_Zom,T1_Victories,T2_Victories,Draws,T1_total_Doc,T2_total_Doc,Doctors_Difference
10,1,1,1,0,9,90,89,1
10,1,2,10,0,0,90,79,11
10,1,3,10,0,0,90,70,20
10,1,4,9,0,1,86,59,27
10,1,5,10,0,0,88,49,39
10,1,6,9,0,1,82,38,44
10,1,7,10,0,0,85,26,59
10,1,8,10,0,0,83,18,65
10,1,9,10,0,0,88,8,80
10,2,2,0,1,9,79,80,-1
10,2,3,10,0,0,80,67,13
10,2,4,9,0,1,77,59,18
10,2,5,10,0,0,73,45,28
10,2,6,10,0,0,75,35,40
10,2,7,10,0,0,77,30,47
10,2,8,10,0,0,78,18,60
10,2,9,10,0,0,70,7,63
10,3,3,0,2,8,68,70,-2
10,3,4,9,1,0,66,58,8
10,3,5,9,1,0,61,49,12
10,3,6,10,0,0,68,37,31
10,3,7,10,0,0,65,27,38
10,3,8,9,0,1,58,18,40
10,3,9,10,0,0,61,5,56
10,4,4,0,2,8,58,60,-2
10,4,5,7,1,2,52,44,8
10,4,6,9,1,0,56,39,17
10,4,7,10,0,0,54,22,32
10,4,8,10,0,0,56,16,40
10,4,9,10,0,0,47,2,45
10,5,5,2,3,5,45,46,-1
10,5,6,7,1,2,41,33,8
10,5,7,7,2,1,35,27,8
10,5,8,7,1,2,28,12,16
10,5,9,9,1,0,36,4,32
10,6,6,2,3,5,33,35,-2
10,6,7,5,2,3,27,23,4
10,6,8,8,0,2,31,15,16
10,6,9,10,0,0,32,7,25
10,7,7,2,3,5,18,18,0
10,7,8,6,3,1,19,12,7
10,7,9,9,0,1,19,0,19
10,8,8,4,2,4,9,6,3
10,8,9,6,1,3,12,5,7
10,9,9,1,1,8,3,3,0
